iter	Logloss
0	0.6704311586
1	0.650154532
2	0.6316362294
3	0.6152301589
4	0.6016749493
5	0.5885928472
6	0.5768499884
7	0.5668442728
8	0.5578416701
9	0.5494259741
10	0.5418594738
11	0.5348845829
12	0.52860811
13	0.5230175787
14	0.5182075219
15	0.5141216738
16	0.5104016821
17	0.5068480923
18	0.5038750619
19	0.5009901328
20	0.4983520637
21	0.4955965985
22	0.493090895
23	0.4912137197
24	0.4894088602
25	0.4874553337
26	0.4859517312
27	0.4842861619
28	0.4830223655
29	0.4816726104
30	0.4804984428
31	0.4794120386
32	0.4784833903
33	0.4775709067
34	0.4765857684
35	0.4756441683
36	0.474883105
37	0.4741472324
38	0.4735149522
39	0.4727271727
40	0.4721085305
41	0.4715160388
42	0.4709513277
43	0.4703626395
44	0.4699689227
45	0.4695222694
46	0.4690697124
47	0.4686645052
48	0.468272183
49	0.467860491
50	0.4674263679
51	0.4670649785
52	0.4667517656
53	0.466514275
54	0.4662102769
55	0.4659229943
56	0.4655710993
57	0.4652549418
58	0.4650091887
59	0.464723991
60	0.4646135897
61	0.4644527336
62	0.464180069
63	0.4639715267
64	0.4637278092
65	0.4634894453
66	0.4633079797
67	0.4631073241
68	0.4628839918
69	0.4627279999
70	0.4625757565
71	0.4624012421
72	0.4622333945
73	0.4621133759
74	0.4619981905
75	0.4618633887
76	0.461736008
77	0.4615429987
78	0.4613622676
79	0.4611647564
80	0.4610302752
81	0.4609270237
82	0.4608353286
83	0.4606738587
84	0.4606119467
85	0.4604198982
86	0.4603310647
87	0.4601867053
88	0.4600404419
89	0.4599039734
90	0.4598052762
91	0.4596658323
92	0.4595147741
93	0.459339243
94	0.4592799747
95	0.4591616206
96	0.4590674208
97	0.4589597011
98	0.4588498045
99	0.4587581574
100	0.4586800062
101	0.4585965017
102	0.458507319
103	0.4583819424
104	0.4582613362
105	0.4581972195
106	0.4581166473
107	0.4580624215
108	0.45798172
109	0.4578793124
110	0.4577696156
111	0.457699938
112	0.4575928762
113	0.4575171803
114	0.4573910602
115	0.4572627018
116	0.4571729627
117	0.4570708822
118	0.4570002938
119	0.4569357063
120	0.456822749
121	0.4567335773
122	0.4566677456
123	0.4566128167
124	0.4565459016
125	0.4564693973
126	0.4563700272
127	0.4563071564
128	0.4562072151
129	0.4561418938
130	0.4561033893
131	0.456030921
132	0.4559382416
133	0.4558283973
134	0.4557308502
135	0.4557277203
136	0.4556800999
137	0.455653748
138	0.4556090665
139	0.455564942
140	0.4554654885
141	0.4553785985
142	0.4553678615
143	0.4552418895
144	0.4551633584
145	0.4550998741
146	0.4550202553
147	0.4549773477
148	0.4549176177
149	0.4548037641
150	0.4547420223
151	0.4546680413
152	0.4546302122
153	0.4545830029
154	0.4545248216
155	0.4544157233
156	0.454299745
157	0.4542334808
158	0.4541589671
159	0.4541022356
160	0.4540405201
161	0.4539889094
162	0.4539245567
163	0.4538335158
164	0.4537630661
165	0.4537181296
166	0.4536328751
167	0.4535547285
168	0.4534915626
169	0.4533866609
170	0.4533281666
171	0.4532630504
172	0.4532237736
173	0.4531575184
174	0.4530824812
175	0.4530418114
176	0.4529517643
177	0.4528746734
178	0.4528242053
179	0.4527586705
180	0.4526692409
181	0.4525896914
182	0.4525349592
183	0.4524508777
184	0.4523739266
185	0.452323499
186	0.4522356508
187	0.4521869522
188	0.4521480816
189	0.4520993039
190	0.4520685591
191	0.4520005334
192	0.4518968013
193	0.4518233219
194	0.4517522625
195	0.4516832058
196	0.4516209847
197	0.4515810878
198	0.451499529
199	0.4513849225
200	0.4513171226
201	0.4512252014
202	0.4511749356
203	0.4511032645
204	0.4510557896
205	0.4509716934
206	0.4509170979
207	0.4508080364
208	0.4507008834
209	0.4506668626
210	0.450590535
211	0.4505454976
