iter	Passed	Remaining
0	96	96433
1	110	54961
2	118	39327
3	124	30953
4	129	25776
5	133	22125
6	137	19456
7	140	17444
8	144	15867
9	147	14612
10	150	13574
11	155	12767
12	158	12035
13	162	11434
14	166	10924
15	170	10459
16	173	10055
17	177	9692
18	181	9364
19	184	9057
20	188	8797
21	192	8561
22	196	8347
23	200	8144
24	204	7963
25	207	7790
26	211	7627
27	215	7476
28	219	7339
29	222	7209
30	226	7087
31	230	6974
32	234	6863
33	238	6763
34	241	6670
35	245	6587
36	249	6503
37	253	6422
38	257	6344
39	261	6271
40	265	6199
41	268	6131
42	272	6068
43	276	6005
44	280	5948
45	284	5892
46	287	5839
47	292	5806
48	296	5756
49	300	5715
50	304	5666
51	308	5618
52	311	5574
53	315	5530
54	319	5488
55	323	5448
56	326	5408
57	330	5372
58	334	5332
59	338	5300
60	341	5254
61	345	5220
62	348	5187
63	352	5156
64	356	5126
65	360	5100
66	364	5069
67	367	5040
68	371	5013
69	375	4986
70	378	4958
71	383	4941
72	387	4917
73	390	4890
74	394	4867
75	398	4843
76	401	4818
77	405	4796
78	409	4775
79	413	4756
80	417	4733
81	420	4710
82	424	4688
83	428	4669
84	431	4641
85	435	4623
86	438	4602
87	442	4583
88	446	4565
89	449	4548
90	453	4532
91	457	4517
92	461	4502
93	465	4487
94	469	4470
95	473	4455
96	476	4438
97	480	4425
98	484	4408
99	487	4391
100	491	4375
101	495	4360
102	498	4344
103	502	4330
104	506	4317
105	510	4302
106	513	4286
107	517	4272
108	520	4257
109	524	4244
110	528	4232
111	531	4217
112	535	4205
113	539	4191
114	543	4179
115	546	4167
116	550	4155
117	554	4144
118	558	4132
119	561	4119
120	565	4109
121	569	4097
122	573	4085
123	576	4073
124	580	4062
125	584	4051
126	587	4040
127	591	4027
128	595	4018
129	598	4007
130	602	3994
131	606	3984
132	609	3973
133	613	3962
134	616	3952
135	619	3933
136	622	3923
137	626	3913
138	629	3902
139	633	3892
140	637	3883
141	641	3874
142	643	3858
143	647	3851
144	651	3841
145	655	3832
146	658	3822
147	662	3812
148	665	3803
149	669	3795
150	673	3784
151	677	3778
152	681	3770
153	685	3766
154	689	3757
155	693	3750
156	697	3743
157	701	3736
158	705	3729
159	709	3723
160	713	3716
161	716	3708
162	721	3705
163	726	3700
164	730	3698
165	734	3690
166	739	3689
167	743	3684
168	748	3679
169	752	3673
170	756	3665
171	760	3660
172	763	3652
173	768	3647
174	771	3638
175	776	3633
176	779	3626
177	783	3619
178	787	3613
179	791	3606
180	796	3603
181	800	3600
182	805	3595
183	810	3596
184	814	3589
185	819	3585
186	823	3580
187	827	3574
188	831	3566
189	836	3566
190	841	3565
191	845	3557
192	849	3552
193	853	3546
194	857	3539
195	861	3532
196	864	3524
197	868	3516
198	872	3509
199	875	3503
200	879	3495
201	883	3489
202	886	3481
203	890	3474
204	894	3467
205	897	3460
206	901	3454
207	905	3447
208	909	3440
209	912	3433
210	916	3427
211	919	3419
212	923	3413
213	927	3406
214	931	3399
215	934	3392
216	938	3385
217	942	3379
218	945	3373
219	949	3366
220	953	3359
221	956	3353
222	960	3347
223	964	3341
224	968	3335
225	972	3329
226	975	3322
227	979	3316
228	983	3309
229	986	3303
230	990	3297
231	994	3292
232	999	3289
233	1003	3283
234	1007	3278
235	1011	3272
236	1015	3269
237	1020	3266
238	1024	3262
239	1029	3258
240	1033	3254
241	1037	3250
242	1041	3244
243	1045	3239
244	1050	3236
245	1054	3233
246	1058	3228
247	1064	3229
248	1068	3223
249	1073	3220
250	1078	3217
251	1082	3213
252	1087	3212
253	1091	3206
254	1096	3202
255	1099	3196
256	1104	3192
257	1107	3186
258	1111	3180
259	1115	3175
260	1120	3172
261	1124	3167
262	1129	3164
263	1133	3159
264	1138	3157
265	1142	3151
266	1146	3148
267	1151	3144
268	1155	3139
269	1159	3134
270	1163	3128
271	1166	3123
272	1170	3117
273	1174	3112
274	1180	3111
275	1186	3112
276	1190	3106
277	1194	3102
278	1198	3096
279	1201	3090
280	1205	3083
281	1208	3076
282	1211	3070
283	1215	3064
284	1219	3058
285	1222	3051
286	1225	3045
287	1229	3040
288	1233	3034
289	1237	3028
290	1240	3023
291	1244	3017
292	1248	3011
293	1251	3005
294	1255	3000
295	1259	2994
296	1262	2988
297	1266	2982
298	1269	2977
299	1273	2971
300	1276	2965
301	1280	2959
302	1284	2954
303	1288	2949
304	1292	2944
305	1296	2939
306	1300	2934
307	1303	2929
308	1307	2923
309	1311	2918
310	1314	2911
311	1317	2906
312	1321	2900
